year,original_ap_score,logit_ap_score,rf_ap_score,xgb_ap_score
1991,0.06288547096682608,0.062002102338430634,0.06615412588453384,0.06640413615543599
1992,0.3156075213211346,0.30360999729045246,0.31092432547387877,0.29681309037853076
1993,0.28271273243810274,0.2928936804694754,0.16623968900114308,0.21606424131904609
1994,0.18309632925782518,0.18271057025125403,0.13845681416292402,0.109490049037998
1995,0.15517918340137607,0.15455762295172726,0.14801046032710147,0.14494916677033948
1996,0.09265003647515219,0.0987788680252117,0.07678700022652127,0.09499390728928
1997,0.26970531686909516,0.2715552009654532,0.22479006863057277,0.22290941662816172
1998,0.15647914359352846,0.14347540624842253,0.14918372959062268,0.14057537509440424
1999,0.17071847841185223,0.17548086654076686,0.18825662525175296,0.17401244278635952
2000,0.17470850171069519,0.1624771905681943,0.12463937053951454,0.14412435071800672
2001,0.23821369871601236,0.23333596680598323,0.16635723740378627,0.19805892703610084
2002,0.12684430867088942,0.12226523211695407,0.10371421885697577,0.1085577596724207
2003,0.20507679504621218,0.20391182299897723,0.22644376140321465,0.25032207478017793
2004,0.08072722127519519,0.08134315577340372,0.07931276260881666,0.08758417327876558
2005,0.18142962006153251,0.12468363735114993,0.142668585149793,0.17259455007588298
2006,0.1610473304377639,0.16087567777952452,0.12494406985521649,0.16313505416030996
2007,0.1848085539017453,0.12732880854887774,0.15277180618346128,0.17476114367375417
2008,0.13696787939822172,0.13561527885469457,0.138043992821729,0.13511385946505924
2009,0.11770799328086896,0.12187806679082423,0.14709246710026952,0.10124200129189219
