year,original_ap_score,logit_ap_score,rf_ap_score,xgb_ap_score
1995,0.16467969001580368,0.15169421974178884,0.1633719234175643,0.16316367698979234
1996,0.0985551026580855,0.10152843876774867,0.08917973877116292,0.08805291426429104
1997,0.2660900906037934,0.26582657931722525,0.22238995725501615,0.21982172128888927
1998,0.14468843258183509,0.14815454877475995,0.13236179673203402,0.13327510234865583
1999,0.17746978543272796,0.1760321928364592,0.16048230532605456,0.20047069091265324
2000,0.1588714494936922,0.1589528616769743,0.13362528594846562,0.12853085343876589
2001,0.21799416713861586,0.21239348161586147,0.18462439919920964,0.17252624723878487
2002,0.14164082104145748,0.13238119062315173,0.08975784237677,0.09855888334578305
2003,0.19870638652551897,0.19907828574831463,0.14384658405818843,0.19684711735131916
2004,0.08752025122917832,0.08581739242581794,0.07481959515859156,0.08478295591675825
2005,0.14188891201832454,0.12468363735114993,0.13839590855762685,0.17036681202275422
2006,0.15357734883326707,0.15760809830999065,0.09804997185424412,0.13567294812892852
2007,0.1668895901113046,0.12732880854887774,0.12772854378833998,0.15902114446691362
2008,0.14300651157189692,0.14358191984615926,0.12500909357143195,0.11538796060054407
2009,0.0951744075360926,0.10242872158813418,0.14080249098324737,0.08885269028443309
