"state","year","policycongruent","gub_election","elect2","hvd_4yr","fedcrime","leg_dem_per_2pty","dem_governor","insession","propneighpol","citidist","squire_prof86","citi6008","crimespendpc","crimespendpcsq","violentthousand","pctwhite","stateincpercap","logpop","counter","counter2","counter3","intercept","event","billnum"
"Alabama",1999,0,1,1,37.6460952758789,0.287701010704041,66.1904830932617,0,1,1,13.1476573944092,0.158000007271767,28.6444396972656,102.924194335938,8218.5224609375,4.86199998855591,73.6476440429688,25.0961742401123,15.3039417266846,1,9,8,1,0,1
"Alabama",2000,0,1,0,34.4700622558594,0.178453996777534,65.3814163208008,1,1,1,18.7476482391357,0.158000007271767,33.7788391113281,96.0221786499023,10593.3896484375,4.38199996948242,71.0999984741211,25.0961742401123,15.3173360824585,3,9,27,1,0,1
"Alabama",2001,0,0,0,36.0696029663086,0.0936098992824554,66.1904830932617,1,1,1,0.995180010795593,0.158000007271767,28.6444396972656,102.924194335938,10593.3896484375,4.90199995040894,71.0999984741211,24.0688419342041,15.3173360824585,1,1,64,1,1,1
"Arizona",1999,0,0,1,30.5931701660156,0.287701010704041,45,0,1,0,5.03589773178101,0.25,40.1107215881348,186.569473266602,29263.46484375,5.40299987792969,80.8458862304688,26.9358234405518,15.5113964080811,2,1,8,1,0,1
"Arizona",2000,0,0,1,33.7066955566406,0.178453996777534,40,0,1,0,5.03589773178101,0.25,42.8436889648438,171.065673828125,27310.896484375,5.31699991226196,75.5,26.9358234405518,15.4577445983887,1,16,27,1,0,1
"Arizona",2001,0,0,1,32.1499328613281,0.114258997142315,45,0,1,0,8.71117877960205,0.25,43.8153114318848,171.065673828125,34808.16796875,5.40299987792969,80.8458862304688,26.9358234405518,15.5113964080811,2,16,27,1,0,1
"Arizona",2002,0,0,0,32.1499328613281,0.287701010704041,40,0,1,0,7.13960981369019,0.25,43.8153114318848,173.729827880859,29263.46484375,5.51100015640259,75.5,26.9358234405518,15.5113964080811,1,16,64,1,0,1
"Arizona",2003,0,0,0,35.5622711181641,0.114258997142315,41.6666717529297,0,1,0,8.71117877960205,0.25,40.1107215881348,186.569473266602,34808.16796875,5.40299987792969,75.5,26.9358234405518,15.4839468002319,3,4,1,1,0,1
"Arizona",2004,0,0,1,33.7066955566406,0.316002994775772,40,0,1,0,8.71117877960205,0.25,43.8153114318848,171.065673828125,29263.46484375,5.54500007629395,75.5,26.2618522644043,15.4577445983887,1,16,27,1,0,1
"Arkansas",1999,0,0,1,25.3573684692383,0.316002994775772,73.5714263916016,0,1,0.16666667163372,1.84470248222351,0.104999996721745,49.7242889404297,130.377471923828,18695.55859375,4.52400016784668,82.7295379638672,23.8717365264893,14.8006887435913,3,1,8,1,0,1
"Arkansas",2000,0,0,0,25.3867492675781,0.316002994775772,73.5714263916016,0,0,0.16666667163372,21.9477195739746,0.104999996721745,33.5479888916016,136.731704711914,18695.55859375,4.52400016784668,82.7295379638672,23.8717365264893,14.790771484375,1,1,8,1,0,1
"Arkansas",2001,0,0,1,25.3720092773438,0.287701010704041,79.5728988647461,0,0,0.16666667163372,1.84470248222351,0.104999996721745,46.3161888122559,136.731704711914,18695.55859375,4.52400016784668,80,23.8717365264893,14.8053283691406,3,4,8,1,0,1
"Arkansas",2002,0,0,1,25.3867492675781,0.316002994775772,79.4285736083984,0,1,0.16666667163372,21.9477195739746,0.104999996721745,49.7242889404297,114.938842773438,13210.9375,4.2519998550415,82.7295379638672,21.556116104126,14.8053283691406,1,1,8,1,0,1
"Arkansas",2003,0,0,1,25.3720092773438,0.316002994775772,73.5714263916016,0,1,0.16666667163372,1.84470248222351,0.104999996721745,33.5479888916016,130.377471923828,16998.28515625,4.52400016784668,80,21.556116104126,14.790771484375,1,1,27,1,1,1
"California",1999,0,1,1,52.3910369873047,0.287701010704041,64.5833282470703,1,1,0,8.80052280426025,0.625,56.6801109313965,199.9228515625,26487.58203125,6.21600008010864,59.5,30.6787776947021,17.367073059082,4,9,64,1,0,1
"California",2000,0,0,0,49.76611328125,0.178453996777534,64.5833282470703,1,1,0.666666686534882,3.76308107376099,0.625,51.1408500671387,162.750061035156,39969.1484375,5.9539999961853,59.5,34.052864074707,17.3417110443115,4,16,64,1,1,1
"Colorado",1999,0,0,0,52.6122970581055,0.287701010704041,47.2527503967285,0,1,0.714285731315613,9.76455974578857,0.300000011920929,42.8554916381836,178.618469238281,34576.67578125,3.52900004386902,82.8000030517578,35.2979774475098,15.3202285766602,2,9,1,1,0,1
"Colorado",2000,0,0,0,52.6122970581055,0.316002994775772,40.6593399047852,0,1,0.142857149243355,4.39493894577026,0.300000011920929,42.8554916381836,178.618469238281,32526.322265625,3.40499997138977,82.8000030517578,30.9185981750488,15.2567710876465,4,9,1,1,1,1
"Connecticut",1999,0,0,1,37.3820419311523,0.316002994775772,62.2792510986328,0,1,0,42.7360191345215,0.232999995350838,59.866828918457,232.63427734375,54118.70703125,3.24699997901917,81.5999984741211,43.6216735839844,15.0474996566772,1,1,64,1,0,1
"Connecticut",2000,0,0,1,40.0660057067871,0.178453996777534,58.1769714355469,0,1,0,26.775899887085,0.232999995350838,59.866828918457,222.121643066406,41704.08984375,3.45600008964539,86.9866790771484,41.9203910827637,15.0427284240723,3,1,1,1,0,1
"Connecticut",2001,0,1,0,37.8680458068848,0.178453996777534,58.1769714355469,0,1,0,8.31434059143066,0.232999995350838,64.4236602783203,222.121643066406,41704.08984375,3.45600008964539,86.9866790771484,38.7176284790039,15.0427284240723,1,9,8,1,0,1
"Connecticut",2002,0,1,0,42.7499771118164,0.287701010704041,58.1769714355469,0,1,0,26.775899887085,0.232999995350838,60.8408317565918,204.215789794922,54118.70703125,3.24699997901917,81.5999984741211,41.9203910827637,15.0352783203125,3,9,27,1,0,1
"Connecticut",2003,0,0,1,37.8680458068848,0.316002994775772,58.1769714355469,0,1,0,8.31434059143066,0.232999995350838,64.4236602783203,222.121643066406,41704.08984375,3.34599995613098,81.5999984741211,38.7176284790039,15.0352783203125,4,4,8,1,0,1
"Connecticut",2004,0,0,1,40.0660057067871,0.287701010704041,62.2792510986328,0,1,0,26.775899887085,0.232999995350838,67.1044921875,232.63427734375,41704.08984375,3.45600008964539,86.9866790771484,43.6216735839844,15.0474996566772,1,4,8,1,0,1
"Delaware",1999,0,0,0,32.6535949707031,0.114258997142315,49.245059967041,1,1,1,33.3557014465332,0.19200000166893,44.2456703186035,395.277984619141,121971.4921875,6.75299978256226,74.5999984741211,33.1932907104492,13.575234413147,1,16,27,1,0,1
